파일명,자료명,길이초,LUFS,LRA
M021-Gangwondo-01.wav,"한오백년",193,-15.8,6.6
M021-Gangwondo-02.wav,"강원도아리랑",137,-15.0,3.2
M021-Gyeonggido-01.wav,"개고리 타령",77,-13.5,3.3
M021-Gyeonggido-02.wav,"건드렁 타령",176,-15.1,8.5
M021-Gyeonggido-03.wav,"경복궁 타령",109,-14.5,2.8
M021-Gyeonggido-04.wav,"구아리랑",220,-17.1,5.7
M021-Gyeonggido-05.wav,"군밤타령",101,-15.1,2.1
M021-Gyeonggido-06.wav,"궁초댕기",164,-14.4,3.7
M021-Gyeonggido-07.wav,"금강산 타령",247,-14.8,7.0
M021-Gyeonggido-08.wav,"긴아리랑",307,-20.5,11.0
M021-Gyeonggido-09.wav,"노들강변",210,-14.3,6.0
M021-Gyeonggido-10.wav,"노랫가락1",187,-14.7,5.9
M021-Gyeonggido-11.wav,"노랫가락2",190,-14.6,7.1
M021-Gyeonggido-12.wav,"는실타령",127,-13.7,3.3
M021-Gyeonggido-13.wav,"늴리리야",143,-14.1,5.2
M021-Gyeonggido-14.wav,"담바귀타령",102,-15.8,2.9
M021-Gyeonggido-15.wav,"도라지",191,-15.3,5.6
M021-Gyeonggido-16.wav,"도화타령",118,-14.5,6.6
M021-Gyeonggido-17.wav,"매화타령",168,-15.1,3.7
M021-Gyeonggido-18.wav,"밀양아리랑",176,-13.4,6.8
M021-Gyeonggido-19.wav,"방아타령",162,-14.1,4.4
M021-Gyeonggido-20.wav,"뱃노래",130,-14.0,4.7
M021-Gyeonggido-21.wav,"뱃노래(2)",163,-14.0,4.5
M021-Gyeonggido-22.wav,"베틀가",93,-13.0,4.2
M021-Gyeonggido-23.wav,"본조아리랑",229,-15.8,4.1
M021-Gyeonggido-24.wav,"사발가",127,-14.3,5.1
M021-Gyeonggido-25.wav,"사설 방아 타령",133,-13.9,4.4
M021-Gyeonggido-26.wav,"신고산 타령(느린)",147,-15.4,3.9
M021-Gyeonggido-27.wav,"신고산 타령(빠른)",130,-13.6,3.4
M021-Gyeonggido-28.wav,"양류가",105,-15.9,3.4
M021-Gyeonggido-29.wav,"양산도",185,-14.5,4.9
M021-Gyeonggido-30.wav,"오돌독",173,-15.6,4.4
M021-Gyeonggido-31.wav,"오봉산타령",118,-15.2,4.7
M021-Gyeonggido-32.wav,"울산아가씨",150,-15.0,7.1
M021-Gyeonggido-33.wav,"잦은뱃노래",169,-13.7,5.9
M021-Gyeonggido-34.wav,"장기타령",218,-16.8,4.2
M021-Gyeonggido-35.wav,"창부타령1",190,-14.4,5.1
M021-Gyeonggido-36.wav,"창부타령2",210,-13.2,5.8
M021-Gyeonggido-37.wav,"천안삼거리",136,-15.3,4.0
M021-Gyeonggido-38.wav,"청춘가",120,-14.0,5.6
M021-Gyeonggido-39.wav,"탑돌이",199,-16.5,5.5
M021-Gyeonggido-40.wav,"태평가",183,-14.0,7.0
M021-Gyeonggido-41.wav,"한강수 타령",138,-14.6,4.6
M021-Gyeonggido-42.wav,"해주아리랑",143,-14.9,4.0
M021-Namdo-01.wav,"강강술래",141,-15.5,6.8
M021-Namdo-02.wav,"개고리타령",143,-13.4,7.1
M021-Namdo-03.wav,"금강산타령",167,-13.8,14.7
M021-Namdo-04.wav,"까투리타령",105,-14.1,4.8
M021-Namdo-05.wav,"꽃타령",102,-14.9,6.5
M021-Namdo-06.wav,"달맞이",180,-14.3,7.5
M021-Namdo-07.wav,"동백타령",188,-13.9,6.1
M021-Namdo-08.wav,"동해바다",131,-14.1,5.9
M021-Namdo-09.wav,"물레타령",125,-15.9,7.1
M021-Namdo-10.wav,"산타령",128,-15.6,7.8
M021-Namdo-11.wav,"삼산은반락",75,-14.9,7.0
M021-Namdo-12.wav,"상주모심기",193,-17.9,8.5
M021-Namdo-13.wav,"상주아리랑",182,-15.2,8.5
M021-Namdo-14.wav,"새타령",199,-15.3,5.6
M021-Namdo-15.wav,"삼월삼짇날",74,-15.8,5.5
M021-Namdo-16.wav,"성주풀이",183,-13.4,8.0
M021-Namdo-17.wav,"남도뱃노래",163,-14.4,8.3
M021-Namdo-18.wav,"남원산성",150,-16.6,4.5
M021-Namdo-19.wav,"널뛰기 노래",167,-16.0,6.8
M021-Namdo-20.wav,"농부가",139,-15.3,5.9
M021-Namdo-21.wav,"신뱃노래",218,-13.1,6.5
M021-Namdo-22.wav,"옹헤야",83,-15.0,5.0
M021-Namdo-23.wav,"육자백이",267,-17.6,6.0
M021-Namdo-24.wav,"자진육자백이",157,-15.1,6.4
M021-Namdo-25.wav,"진도아리랑1",146,-14.7,4.1
M021-Namdo-26.wav,"진도아리랑2",146,-14.8,5.0
M021-Namdo-27.wav,"통영개타령",80,-15.0,3.7
M021-Namdo-28.wav,"함양 양잠가",133,-14.8,5.6
M021-Namdo-29.wav,"흥타령1",183,-16.5,8.5
M021-Namdo-30.wav,"흥타령2",230,-16.8,9.2
M021-Seodo-01.wav,"간장타령",129,-15.4,4.3
M021-Seodo-02.wav,"개성난봉가(박연)",173,-13.7,5.1
M021-Seodo-03.wav,"개성산염불",207,-14.4,4.2
M021-Seodo-04.wav,"금다래타령",94,-16.1,3.5
M021-Seodo-05.wav,"금드렁타령",81,-16.2,7.1
M021-Seodo-06.wav,"긴난봉가",200,-17.0,7.0
M021-Seodo-07.wav,"날찾네",129,-14.8,5.8
M021-Seodo-08.wav,"느리개 타령",194,-16.3,4.5
M021-Seodo-09.wav,"몽금포타령",197,-16.6,4.8
M021-Seodo-10.wav,"배따라기",203,-20.0,11.3
M021-Seodo-11.wav,"배치기",117,-12.9,3.2
M021-Seodo-12.wav,"병신난봉가",148,-16.3,3.8
M021-Seodo-13.wav,"사설난봉가",117,-15.0,6.8
M021-Seodo-14.wav,"산염불",299,-15.9,5.3
M021-Seodo-15.wav,"서도뱃노래",64,-14.3,5.6
M021-Seodo-16.wav,"신경발림",161,-13.2,5.4
M021-Seodo-17.wav,"싸름타령",154,-17.8,6.4
M021-Seodo-18.wav,"야월선유가",104,-16.9,8.7
M021-Seodo-19.wav,"연평도난봉가",225,-15.6,3.8
M021-Seodo-20.wav,"연평도난봉가(빠른)",152,-14.5,4.5
M021-Seodo-21.wav,"자진난봉가",169,-14.7,4.4
M021-Seodo-22.wav,"자진배따라기",165,-15.0,7.6
M021-Seodo-23.wav,"자진산염불",126,-14.0,4.4
M021-Seodo-24.wav,"자진아리",107,-15.4,5.7
M021-Seodo-25.wav,"풍구타령",106,-15.3,2.6
M021-Seodo-26.wav,"함경도애원성",144,-15.2,5.5
M021-Seodo-27.wav,"호무가",121,-15.9,3.5
M021-Jejudo-01.wav,"서우젯소리",104,-15.7,4.2
M021-Jejudo-02.wav,"둥그레당실",175,-14.5,3.6
M021-Jejudo-03.wav,"이야옹타령",122,-14.8,6.1
M021-Jejudo-04.wav,"이어도사나",76,-15.0,3.7
